study,questionnaire,question,item,concept,text_de,instruction_de,text,instruction,answer_list,scale,filter,goto,description
soep-core,soep-core-2012-ju,47,jaus05a ,jaus05a ,Regulär abgeschlossen [Berufsfachschule oder Schule des Gesundheitswesens],,Specialized vocational school or health school  finished successfully,,jaus xx 2,cat,47:jaus05=2,,"Filter:
ASK ONLY IF Q4701 : JAUS XX 1 ST=4 & SC=2
"
soep-core,soep-core-2012-ju,47,jaus06a ,jaus06a ,"Regulär abgeschlossen [Praktikum, Volontariat]",,"Internship, voluntary job  finished successfully",,jaus xx 2,cat,47:jaus06=2,,"Filter:
ASK ONLY IF Q4701 : JAUS XX 1 ST=5 & SC=2
"
soep-core,soep-core-2012-ju,48,,jaus07,Streben Sie in der Zukunft einen beruflichen Ausbildungsabschluss oder Hochschulabschluss an?,,Do you intend to complete vocational / occupational training or attain a university degree in the future?,,jaus xx,cat,,3 @ 50,"Routing:
*IF [Q48000,3] **GOTO BLOCK 5000
"
soep-core,soep-core-2012-ju,49,,,Welchen der folgenden Ausbildungsabschlüsse streben Sie an?,Mehrere Nennnungen möglich!,Which of the following qualifications do you plan to attain?,Please mark all that apply!,,txt,48;jaus07=1|2,,"Researcher Notes:
Statement 1 = JAUS08
**Statement 2 = JAUS09
**Statement 3 = JAUS10
**Statement 4 = JAUS11
**Statement 5 = JAUS12
**Statement 6 = JAUS13
**Statement 7 = JAUS14
**
**Skala: ""Ja"" nicht im PAPI vorhanden, jedoch hat jede genannte Antwort den Code 1.
"
soep-core,soep-core-2012-ju,49,jaus08,jaus08,Abschluss einer Lehre,,Completed apprenticeship,,,bin,,,
soep-core,soep-core-2012-ju,49,jaus09,jaus09,Berufsfachschule oder Schule des Gesundheitswesens,,Full-time vocational school or health school,,,bin,,,
soep-core,soep-core-2012-ju,49,jaus10,jaus10,"Fachschule (z.B. Meister-, Technikerschule)",,Higher level trade and technical school,,,bin,,,
soep-core,soep-core-2012-ju,49,jaus11,jaus11,Beamtenausbildung,,Civil servant education,,,bin,,,
soep-core,soep-core-2012-ju,49,jaus12,jaus12,Anerkannte Berufsakademie,,Accredited career training academy,,,bin,,,
soep-core,soep-core-2012-ju,49,jaus13,jaus13,Fachhochschule,,University of applied science,,,bin,,,
soep-core,soep-core-2012-ju,49,jaus14,jaus14,Universität,,University,,,bin,,,
soep-core,soep-core-2012-ju,50,,,In welchem Alter spätestens wollen Sie wirtschaftlich auf eigenen Beinen stehen?,,At what age do you wosh to be financially independent?,,,txt,,,"Researcher Notes:
Option ""Im Alter von"" keine Option zum ankreuzen, somit kein Wert in den Daten vorhanden.
**Option ""Stehe bereits heute auf eigenen Beinen"" hat Code 1.
"
soep-core,soep-core-2012-ju,50,jaus15,jaus15,Im Alter von . . . Jahren,,At the age of …,,,int,,,"Filter:
ASK ONLY IF Q5001 : JAUS16=1
"
soep-core,soep-core-2012-ju,50,jaus16,jaus16,Stehe bereits heute wirtschaftlich auf eigenen Beinen,,I am already financially independent.,,,bin,,,
soep-core,soep-core-2012-ju,51,,jber01,"Wissen Sie schon, welchen Beruf Sie ergreifen möchten?",,Do do have a career aspiration?,,jber xx 4,cat,,3 @ 54,"Routing:
*IF [Q51000,3] *GOTO 54000
"
soep-core,soep-core-2012-ju,52,,jber02,"Welcher Beruf ist das?
Bitte nennen Sie uns möglichst die genaue Bezeichnung Ihres angestrebten Berufs.",,What kind of occupation is that? Please state as exact as possible.,,,chr,51;jber01=1|2,,"Filter:
ASK ONLY IF Q5100 : JBER01=1,2
"
soep-core,soep-core-2012-ju,53,,jber03,Für wie gut halten Sie sich gegenwärtig im Hinblick auf Ihren angestrebten Beruf informiert?,,What do you think? How well informed are you about that occupation?,,jber xx 5,cat,,,
soep-core,soep-core-2012-ju,54,,,Inwieweit stimmen Sie den folgenden Aussagen zu Ihrer Berufswahl zu?,Bitte ein Kreuz pro Zeile!,To what extent do you agree with the following statements regarding your choice of occupation?,Please state one entry per row!,,txt,,,"Researcher Notes:
Statement 1 = JBER04
**Statement 2 = JBER05
**Statement 3 = JBER06
**Statement 4 = JBER07
"
soep-core,soep-core-2012-ju,54,jber04,jber04,Bei meiner Berufswahl haben die Vorschläge meiner Eltern großes Gewicht,,My parents helped with choice of occupation,,jber xx a,cat,,,
soep-core,soep-core-2012-ju,54,jber05,jber05,"Mir geht es nicht darum, den einzig richtigen Beruf zu finden. Ich lasse einfach auf mich zukommen, was sich bietet",,My goal is it to take things as they come,,jber xx a,cat,,,
soep-core,soep-core-2012-ju,54,jber06,jber06,"Ich habe mich lange mit verschiedenen beruflichen Möglichkeiten beschäftigt, um eine richtige Entscheidung zu treffen",,I took a while to get informed and to take the right decision,,jber xx a,cat,,,
soep-core,soep-core-2012-ju,54,jber07,jber07,"Ich bin noch dabei herauszufinden, wo meine Fähigkeiten liegen und welche Berufe für mich die richtigen sein könnten",,I am still trying to find out what my talents are and which occupation is right for me,,jber xx a,cat,,,
soep-core,soep-core-2012-ju,55,,,"Für die Arbeit und die Wahl des Berufs können einem unterschiedliche Dinge wichtig sein.
Bitte geben Sie für jeden der folgenden Punkte an, ob er für Sie bei der Berufswahl sehr wichtig, wichtig, weniger wichtig oder ganz und gar unwichtig ist.

Wie wichtig ist für Ihre Berufswahl …",,"Various different things are important regarding the choice of occupation. Please state if the following statements are very important, important, not so important or not important at all regarding your choice of occupation. Regarding your career choice, how important is …",,,txt,,,"Researcher Notes:
Statement 1 = JBER08
**Statement 2 = JBER09
**Statement 3 = JBER10
**Statement 4 = JBER11
**Statement 5 = JBER12
**Statement 6 = JBER13
**Statement 7 = JBER14
**Statement 8 = JBER15
**Statement 9 = JBER16
**Statement 10 = JBER17
**Statement 11 = JBER18
**Statement 12 = JBER19
"
soep-core,soep-core-2012-ju,55,jber08,jber08,eine sichere Berufsstellung?,,"A secure job, career",,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber09,jber09,ein hohes Einkommen?,,A high income,,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber10,jber10,gute Aufstiegsmöglichkeiten?,,Good promotion possibilities,,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber11,jber11,"ein Beruf, der anerkannt und geachtet wird?",,A job with recognition,,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber12,jber12,"ein Beruf, der einem viel Freizeit lässt?",,A job which allows for spare time,,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber13,jber13,eine interessante Tätigkeit?,,"An interesting job, career",,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber14,jber14,"eine Tätigkeit, bei der man selbständig arbeiten kann?",,A job which allows for independent working,,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber15,jber15,viel Kontakt zu anderen Menschen?,,A job with interaction,,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber16,jber16,"ein Beruf, der für die Gesellschaft wichtig ist?",,A job important for society,,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber17,jber17,sichere und gesunde Arbeitsbedingungen?,,"A job with good health, safety conditions",,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber18,jber18,"ein Beruf, der einem genügend Zeit für familiäre Verpflichtungen lässt?",,A job  which allows for family commitments,,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,55,jber19,jber19,"ein Beruf, bei dem man anderen Menschen helfen kann?",,A job where one can help others,,jber xx 2,cat,,,
soep-core,soep-core-2012-ju,56,,jges,Wie würden Sie Ihren gegenwärtigen Gesundheitszustand beschreiben?,,How would you describe your current health?,,jges,cat,,,
soep-core,soep-core-2012-ju,57,,,Was ist Ihre Körpergröße in cm?,"Wenn Sie es nicht genau wissen, schätzen Sie bitte.",How tall are you? (cm),"If you don't know, please estimate.",,txt,,,
soep-core,soep-core-2012-ju,57,jgr,jgr,cm,,cm,,,int,,,
soep-core,soep-core-2012-ju,58,,,Wieviel Kilogramm wiegen Sie gegenwärtig?,"Wenn Sie es nicht genau wissen, schätzen Sie bitte.",How many kilograms do you currently weigh?,"If you don't know, please estimate.",,txt,,,
soep-core,soep-core-2012-ju,58,jkilo,jkilo,kg,,kg,,,int,,,
soep-core,soep-core-2012-ju,59,,,"Wenn Sie sich einmal Ihre berufliche und private Zukunft vorstellen:
Wie wahrscheinlich ist es, dass die folgenden Entwickungen eintreten werden?

Stufen Sie bitte jeweils die Wahrscheinlichkeit auf einer Skala ein, die von 0 Prozent bis 100 Prozent geht.

Wie wahrscheinlich ist es, dass Sie ...",Bitte ein Kreuz pro Zeile!,Imagine your privat and vocational future. How likely is it that you will experience the following developments? Please estimate the probability on a scale of 0 to 100 percent. How likely is it that you …,Please state one entry per row!,,txt,,,"Researcher Notes:
Statement 1 = JZUK01
**Statement 2 = JZUK02
**Statement 3 = JZUK03
**Statement 4 = JZUK04
**Statement 5 = JZUK05
**Statement 6 = JZUK06
**Statement 7 = JZUK07
**Statement 8 = JZUK08
**Statement 9 = JZUK09
**Statement 10 = JZUK10
**Statement 11 = JZUK11
**Statement 12 = JZUK12
"
soep-core,soep-core-2012-ju,59,jzuk01,jzuk01,einen Ausbildungs- oder Studienplatz für Ihren gewünschten Beruf bekommen?,,get an appreticeship or a place for study,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk02,jzuk02,Ihre Ausbildung oder Ihr Studium erfolgreich abschließen?,,complete training / get university degree,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk03,jzuk03,in Ihrem angestrebten Beruf auch einen Arbeitsplatz finden?,,find a job ,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk04,jzuk04,beruflich erfolgreich sein und weiterkommen werden?,,are successfull in your career,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk05,jzuk05,längere Zeit arbeitslos werden?,,become unemployed for a longer period of time,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk06,jzuk06,"aus familiären Gründen, z.B. Kindererziehung, beruflich zurückstecken?",,slow down professionally because of family matters,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk07,jzuk07,sich selbständig machen bzw. freiberuflich tätig werden?,,become self-employed,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk08,jzuk08,einmal im Ausland arbeiten werden?,,work in a foreign country,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk09,jzuk09,einmal heiraten werden?,,will marry,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk10,jzuk10,mit einer Partnerin / einem Partner unverheiratet zusammenleben werden?,,live together with your partner,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk11,jzuk11,ein Kind haben werden?,,have a child,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,59,jzuk12,jzuk12,mehrer Kinder haben werden?,,have more than one child,,jzuk xx,cat,,,
soep-core,soep-core-2012-ju,60,,,In welchem Jahr und in welchem Monat sind Sie geboren?,,What is your year and month of birth?,,,txt,,,
soep-core,soep-core-2012-ju,60,jgeb,jgeb,Jahr,,Year,,,int,,,"Researcher Notes:
Maximum: 1900
"
soep-core,soep-core-2012-ju,60,jgebmo,jgebmo,Monat,,Month,,,int,,,"Researcher Notes:
Maximum: 12
"
soep-core,soep-core-2012-ju,61,,jsta1,Sind Sie in Deutschland geboren?,,Are you born in Germany?,,jsta1,cat,,1 @ 65,"Routing:
*IF [Q61000,2] *GOTO 65000
"
soep-core,soep-core-2012-ju,62,,jsta2,In welchem Land sind Sie geboren?,Bitte heutige Bezeichnung eintragen!,What country were you born in?,Please state the current name of the country!,,chr,61;jsta1=2,,"Researcher Notes:
Zusatzangabe: LSTA2NR
"
soep-core,soep-core-2012-ju,63,,,Wann sind Sie in die Bundesrepublik Deutschland zugezogen?,,When did you move to Germany?,,,txt,,,"Researcher Notes:
Maximum: 2011
"
soep-core,soep-core-2012-ju,63,jzug01,jzug01,Jahr,,Year,,,int,,,
soep-core,soep-core-2012-ju,64,,jzug02,"Zu welcher der folgenden Zuwanderergruppen gehörten Sie, als Sie nach Deutschland kamen?",,To which of the following immigrant categories did you belong when you moved to Germany?,,jzug02,cat,,,
soep-core,soep-core-2012-ju,65,,jsta3,Haben Sie heute die deutsche Staatsangehörigkeit?,,Do you have German citizenship today?,,jsta3,cat,,2 @ 70,"Routing:
*IF [Q65000,2] **GOTO BLOCK 7000
"
soep-core,soep-core-2012-ju,66,,jsta4,Haben Sie neben der deutschen eine zweite Staatsangehörigkeit?,,Do you have second citizenship in addition to German citizenship?,,jsta4,cat,65;jsta3=1,,
soep-core,soep-core-2012-ju,66,jsta4x,jsta4x,[Ja] und zwar:,,[Yes]:,,,chr,66;jsta4=1,,"Filter:
ASK ONLY IF Q6601 : JSTA4=1
"
soep-core,soep-core-2012-ju,67,,jsta5,Haben Sie die deutsche Staatsangehörigkeit seit Geburt oder erst später erworben?,,Have you had German citizenship since birth or did you acquire it at a later date?,,jsta5,cat,,1 @ 72,"Routing:
*IF [Q67000,1] *GOTO 72000
"
soep-core,soep-core-2012-ju,68,,jsta5x,Welche Staatsangehörigkeit hatten Sie vorher?,Bitte eintragen!,What citizenship did you have before?,Please state!,,chr,67;jsta5=2,,"Filter:
ASK ONLY IF Q6700 : JSTA5=2
"
soep-core,soep-core-2012-ju,69,,,Und in welchem Jahr haben Sie die deutsche Staatsangehörigkeit erworben?,,And in what year did you acquire German citizenship?,,,txt,,,"Researcher Notes:
FILTER: Nach Beantwortung der Frage auf Q7200 springen
"
soep-core,soep-core-2012-ju,69,jsta6,jsta6,Im Jahr,,Year: ,,,int,,>0 @ 72,
soep-core,soep-core-2012-ju,70,,jnat,Welche Staatsangehörigkeit haben Sie?,,What is your country of citizenship?,,,chr,,,
soep-core,soep-core-2012-ju,71,,jzug03,Haben Sie heute eine unbefristete oder eine befristete Aufenthaltserlaubnis?,,Is your residence permit / visa for a limited or unlimited period of time?,,jzug03,cat,,,"Filter:
ASK ONLY IF Q6500 : JSTA3=2
"
soep-core,soep-core-2012-ju,72,,jmusp1,"Jetzt geht es um die Muttersprache, also die Sprache, mit der man in der Familie aufgewachsen ist.
Haben Sie und Ihre beiden Eltern Deutsch als Muttersprache?",,Now some questions about your native language—the language spoken by the family you grew up in. Is German the native language of you and both of your parents?,,jmusp1,cat,,1 @ 74,"Routing:
*IF [Q72000,1] *GOTO 74000
"
soep-core,soep-core-2012-ju,73,,,Wie ist das bei Ihnen persönlich?,,What about you...?,,,txt,72;jmusp1=2,,
soep-core,soep-core-2012-ju,73,jmusp2,jmusp2,Sprechen [Wie gut können Sie die deutsche Sprache?],,Speaking [How well do you know German?],,jmusp2,cat,,,
soep-core,soep-core-2012-ju,73,jmusp3,jmusp3,Schreiben  [Wie gut können Sie die deutsche Sprache?],,Writing [How well do you know German?],,jmusp2,cat,,,
soep-core,soep-core-2012-ju,73,jmusp6,jmusp6,Lesen [Wie gut können Sie die deutsche Sprache?],,Reading [How well do you know German?],,jmusp2,cat,,,
soep-core,soep-core-2012-ju,73,jmusp4,jmusp4,Sprechen [Wie gut können Sie die Sprache Ihres Herkunftslandes bzw. die Sprache Ihrer Eltern?],,Speaking [How well do you know the language of your native country / your parents' language?],,jmusp2,cat,,,
soep-core,soep-core-2012-ju,73,jmusp5,jmusp5,Schreiben [Wie gut können Sie die Sprache Ihres Herkunftslandes bzw. die Sprache Ihrer Eltern?],,Writing [How well do you know the language of your native country / your parents' language?],,jmusp2,cat,,,
soep-core,soep-core-2012-ju,73,jmusp7,jmusp7,Lesen [Wie gut können Sie die Sprache Ihres Herkunftslandes bzw. die Sprache Ihrer Eltern?],,Reading [How well do you know the language of your native country / your parents' language?],,jmusp2,cat,,,
soep-core,soep-core-2012-ju,74,,jkh01,"Wo haben Sie den größten Teil Ihrer Kindheit bis zum 15. Lebensjahr verbracht?
War das...",,Where did you spend the majority of your childhood up to the age of 15? Was it ...,,jkh01,cat,,,
soep-core,soep-core-2012-ju,75,,jkh02,Leben Sie heute noch in dieser Stadt oder dieser Gegend?,,Do you still live in the same city or area today?,,jkh02,cat,,,
soep-core,soep-core-2012-ju,76,,jgesch1,Haben oder hatten Sie Geschwister?,,Do you or did you have brothers and sisters?,,jgesch1,cat,,,
soep-core,soep-core-2012-ju,76,jgesch2,jgesch2,[Ja] und zwar … Brüder,,[Yes] … brothers,,,int,76;jgesch1=1,,"Researcher Notes:
sinnvolles nummerisches Maximum

Filter:
ASK ONLY IF Q7601 : JGESCH1=1
"
soep-core,soep-core-2012-ju,76,jgesch3,jgesch3,Schwestern,,sisters,,,int,76;jgesch1=1,,"Researcher Notes:
sinnvolles nummerisches Maximum

Filter:
ASK ONLY IF Q7601 : JGESCH1=1
"
soep-core,soep-core-2012-ju,76,4,,Ist eines davon Ihr Zwillingsbruder oder Ihre Zwillingsschwester?,,Is one of them your twin?,,,txt,76;jgesch1=1,,"Filter:
ASK ONLY IF Q7601 : JGESCH1=1 and Q7602 : JGESCH2>=1 or Q7603 : JGESCH3>=1
"
soep-core,soep-core-2012-ju,76,jgesch5,jgesch5,"Ja, eineiig",,"Yes, identical twin",,,bin,,,
soep-core,soep-core-2012-ju,76,jgesch6,jgesch6,"Ja, eine zweieiige Schwester",,"Yes, fraternal sister",,,bin,,,
soep-core,soep-core-2012-ju,76,jgesch7,jgesch7,"Ja, ein zweieiiger Bruder",,"Yes, fraternal brother",,,bin,,,
soep-core,soep-core-2012-ju,76,jgesch8,jgesch8,Nein,,No  ,,,bin,,,
soep-core,soep-core-2012-ju,77,,,Wie viele von Ihren ersten 15 Lebensjahren haben Sie bei den folgenden Personen gelebt?,"Bitte auf ganze Jahre runden!
(Hinweis: Adoptiveltern gelten wie leibliche Eltern)",How many years of your childhood (up to the age of 15) did you live with the following persons?,Please round off to the nearest full year! (Note: adoptive parents count as biological parents),,txt,,,"Researcher Notes:
Antworten: numerische Werte
**Weitere Angabe in PAPI: Summe der Jahre (bitte prüfen!) > jedoch keine Variable
**1 = JKH03
**2 = JKH04
**3 = JKH05
**4 = JKH06
**5 = JKH07
**6 = JKH08
**7 = JKH09
**8 = JKH10
"
soep-core,soep-core-2012-ju,77,jkh03,jkh03,Bei Ihren beiden (leiblichen) Eltern … Jahre,,With both of your (biological) parents … years,,,int,,,
soep-core,soep-core-2012-ju,77,jkh04,jkh04,Bei Ihrer Mutter allein (ohne Partner) … Jahre,,With your mother without a (new) companion … years,,,int,,,
soep-core,soep-core-2012-ju,77,jkh05,jkh05,Bei Ihrer Mutter mit (neuem) Partner … Jahre,,With your mother and her (new) companion … years,,,int,,,
soep-core,soep-core-2012-ju,77,jkh06,jkh06,Bei Ihrem Vater allein (ohne Partnerin) … Jahre,,With your father without a (new) companion … years,,,int,,,
soep-core,soep-core-2012-ju,77,jkh07,jkh07,Bei Ihrem Vater mit (neuer) Partnerin … Jahre,,With your father and her (new) companion … years,,,int,,,
soep-core,soep-core-2012-ju,77,jkh08,jkh08,Bei anderen Verwandten … Jahre,,With other relatives … years,,,int,,,
soep-core,soep-core-2012-ju,77,jkh09,jkh09,Bei Pflegeeltern … Jahre,,With foster parents … years,,,int,,,
soep-core,soep-core-2012-ju,77,jkh10,jkh10,Im Heim … Jahre,,In an orphanage … years,,,int,,,
soep-core,soep-core-2012-ju,77,11,,Summe der Jahre (bitte prüfen!) 15 Jahre,,Sum total of all years (please check!) 15 years,,,txt,,,
soep-core,soep-core-2012-ju,78,,jvm,Leben Ihr Vater und Ihre Mutter hier im Haushalt?,,Do your mother and father live in this household?,,jvm,cat,,"1 @ 88, 2 @ 79:jm01, 3 @ 79:jv01, 4 @ 79","Researcher Notes:
Instruktion:
**if Q7600: JVM = 2,3 : Die folgenden Fragen 79-87 bitte nur für den Elternteil beantworten, der nicht im Haushalt lebt!
**if Q7600: JVM = 4: Die folgenden Fragen 79-87 bitte getrennt für Vater und Mutter beantworten!

Routing:
*IF [Q78000,1] *GOTO 88000
"
soep-core,soep-core-2012-ju,79,,,"Lebt Ihr Vater / Ihre Mutter noch? Wenn ja, wo? Wenn verstorben, wann?",,"Is your father / mother still living? If so, where does he / she live? If not, when did he / she die?",,,txt,,,
soep-core,soep-core-2012-ju,79,jv01,jv01,Vater sofern nicht im Haushalt lebend,,"Father, if not living in the household",,jv01,cat,78;jvm=3 | 4,,"Filter:
ASK ONLY IF Q7901 : JV Dummy=1
"
soep-core,soep-core-2012-ju,79,jm01,jm01,Mutter sofern nicht im Haushalt lebend,,"Mother, if not living in the household",,jv01,cat,78;jvm=2 | 4,,
soep-core,soep-core-2012-ju,79,jv02,jv02,"Ist verstorben, und zwar im Jahr:[Vater]",,Is deceased: died in the year [fahter],,,int,78;jvm=3 | 4,,"Researcher Notes:
Maximum: 2011

Filter:
ASK ONLY IF Q7901 : JV Dummy=2
"
soep-core,soep-core-2012-ju,79,jm02,jm02,"Ist verstorben, und zwar im Jahr: [Mutter]",,Is deceased: died in the year [mother],,,int,78;jvm=2 | 4,,"Researcher Notes:
Maximum: 2011

Filter:
ASK ONLY IF Q7904 : JM Dummy=2
"
soep-core,soep-core-2012-ju,80,,,In welchem Jahr wurde Ihr Vater / Ihre Mutter geboren?,,In waht year was your father/moter born?,,,txt,,,
soep-core,soep-core-2012-ju,80,jv03,jv03,[Vater],,[Father],,,int,78;jvm=3 | 4,,"Researcher Notes:
sinnvolles nummerisches Maximum?

Filter:
ASK ONLY IF Q7800 : JVM=3,4
"
soep-core,soep-core-2012-ju,80,jm03,jm03,[Mutter],,[Mother],,,int,78;jvm=2 | 4,,"Researcher Notes:
sinnvolles nummerisches Maximum

Filter:
ASK ONLY IF Q7800 : JVM=2,4
"
soep-core,soep-core-2012-ju,81,,,Ist Ihr Vater / Ihre Mutter in Deutschland geboren?,,Was your father / mother born in Germany?,,,txt,,,
soep-core,soep-core-2012-ju,81,jv03a,jv03a,Ja [Vater],,Yes [father],,,bin,78;jvm=3 | 4,,"Researcher Notes:
""Nein"" (Code: 2) als Antwortkategorie nicht in CAPI gegeben

Filter:
ASK ONLY IF Q7800 : JVM=3,4
"
soep-core,soep-core-2012-ju,81,jm03a,jm03a,Ja [Mutter],,Yes [mother],,,bin,,,
soep-core,soep-core-2012-ju,81,jv03b,jv03b,Nein: Bitte Geburtsland angeben [Vater],,No: please state country of birth [father],,,chr,81;jv03a=2,,"Researcher Notes:
Zusätzlich in CAPI: LV03BNR

Filter:
ASK ONLY IF Q8101 : JV03A=2
"
soep-core,soep-core-2012-ju,81,jm03b,jm03b,Nein: Bitte Geburtsland angeben [Mutter],,No: please state country of birth [mother],,,chr,81;jm03a=2,,"Researcher Notes:
""Nein"" (Code: 2) nicht als Antwortkategorie in CAPI gegeben

Filter:
ASK ONLY IF Q7800 : JVM=2,4
"
soep-core,soep-core-2012-ju,82,,,Hat (bzw. hatte) Ihr Vater / Ihre Mutter die deutsche Staatsbürgerschaft?,,Does or did your father / mother have German citizenship?,,,txt,,,
soep-core,soep-core-2012-ju,82,jv04,jv04,[Vater],,[father],,jx04,cat,78;jvm=3 | 4,,"Filter:
ASK ONLY IF Q7800 : JVM=3,4
"
soep-core,soep-core-2012-ju,82,jm04,jm04,[Mutter],,[Mother],,jx04,cat,78;jvm=2 | 4,,"Filter:
ASK ONLY IF Q7800 : JVM=2,4
"
soep-core,soep-core-2012-ju,83,,,Welchen Schulabschluss hat Ihr Vater / Ihre Mutter erworben?,,What level of secondary schooling did your father / mother complete?,,,txt,,,
soep-core,soep-core-2012-ju,83,jv05,jv05,[Vater],,[father],,jx05,cat,78;jvm=3 | 4,,"Filter:
ASK ONLY IF Q7800 : JVM=3,4
"
soep-core,soep-core-2012-ju,83,jm05,jm05,[Mutter],,[Mother],,jx05,cat,78;jvm=2 | 4,,"Filter:
ASK ONLY IF Q7800 : JVM=2,4
"
soep-core,soep-core-2012-ju,84,,,Hat Ihr Vater / Ihre Mutter eine berufliche Ausbildung oder ein Studium abgeschlossen?,,Did your father / mother complete vocational training or a university degree?,,,txt,,,
soep-core,soep-core-2012-ju,84,jv06,jv06,[Vater],,[father],,jx06,cat,78;jvm=3 | 4,,"Filter:
ASK ONLY IF Q7800 : JVM=3,4
"
soep-core,soep-core-2012-ju,84,jm06,jm06,[Mutter],,[Mother],,jx06,cat,78;jvm=2 | 4,,"Filter:
ASK ONLY IF Q7800 : JVM=2,4
"
soep-core,soep-core-2012-ju,85,,,Falls zutreffend: Welche berufliche Tätigkeit übt Ihr Vater / Ihre Mutter aus bzw. hat Ihr Vater / Ihre Mutter zuletzt ausgeübt?,Bitte genaue Berufsbezeichnung angeben.,What was your father’s / mother’s last occupation? ,"Please state the specific occupational title!
",,txt,,,
soep-core,soep-core-2012-ju,85,jv07,jv07,Vater,,Father ,,,chr,78;jvm=3 | 4,,"Filter:
ASK ONLY IF Q7800 : JVM=3,4
"
soep-core,soep-core-2012-ju,85,jm07,jm07,Mutter,,Mother ,,,chr,78;jvm=2 | 4,,"Filter:
ASK ONLY IF Q7800 : JVM=2,4
"
soep-core,soep-core-2012-ju,86,,,In welcher beruflichen Stellung ist Ihr Vater / Ihre Mutter bzw. war Ihr Vater / Ihre Mutter zuletzt tätig?,,Which of the following categories describes your father’s / mother’s last occupational status?,,,txt,,,
soep-core,soep-core-2012-ju,86,jv08,jv08,Arbeiter (auch in der Landwirtschaft) [Vater],,Blue-collar worker (Arbeiter) (also in agriculture [father],,jx08,cat,78;jvm=3 | 4,,
soep-core,soep-core-2012-ju,86,jm08,jm08,Arbeiter (auch in der Landwirtschaft) [Mutter],,Blue-collar worker (Arbeiter) (also in agriculture [mother],,jx08,cat,ASK ONLY IF Q8607 : JM2 Dummy=1,,"Filter:
ASK ONLY IF Q8607 : JM2 Dummy=1
"
soep-core,soep-core-2012-ju,86,jv09,jv09,Angestellte [Vater],,White-collar worker (Angestellte) [father],,jx09,cat,78;jvm=3 | 4,,
soep-core,soep-core-2012-ju,86,jm09,jm09,Angestellte [Mutter],,White-collar worker (Angestellte) [mother],,jx09,cat,ASK ONLY IF Q8607 : JM2 Dummy=2,,"Filter:
ASK ONLY IF Q8607 : JM2 Dummy=2
"
soep-core,soep-core-2012-ju,86,jv10,jv10,Beamte / Staatsverwaltung (einschl. Richter und Berufssoldaten) [Vater],,Civil servant or public administration employee (including judges and professional soldier) [father],,jx10,cat,78;jvm=3 | 4,,
soep-core,soep-core-2012-ju,86,jm10,jm10,Beamte / Staatsverwaltung (einschl. Richter und Berufssoldaten) [Mutter],,Civil servant or public administration employee (including judges and professional soldier) [mother],,jx10,cat,ASK ONLY IF Q8607 : JM2 Dummy=3,,"Filter:
ASK ONLY IF Q8607 : JM2 Dummy=3
"
soep-core,soep-core-2012-ju,86,jv11,jv11,Selbstständige (einschl. mithelfender Familienangehöriger) [Vater],,Self-employed (including family members working for the self-employe) [father],,jx11,cat,78;jvm=3 | 4,,
soep-core,soep-core-2012-ju,86,jm11,jm11,Selbstständige (einschl. mithelfender Familienangehöriger) [Mutter],,Self-employed (including family members working for the self-employe) [mother],,jx11,cat,ASK ONLY IF Q8607 : JM2 Dummy=4,,"Filter:
ASK ONLY IF Q8607 : JM2 Dummy=4
"
soep-core,soep-core-2012-ju,86,jv12,jv12,War nie erwerbstätig [Vater],,Was not economically active [father],,,bin,ASK ONLY IF Q8601 : JV2 Dummy=5,,"Filter:
ASK ONLY IF Q8601 : JV2 Dummy=5
"
soep-core,soep-core-2012-ju,86,jm12,jm12,War nie erwerbstätig [Mutter],,Was not economically active [mother],,,bin,ASK ONLY IF Q8607 : JM2 Dummy=5,,"Filter:
ASK ONLY IF Q8607 : JM2 Dummy=5
"
