"study","dataset","variable","label","concept"
"soep-fid","bioage08p2","b08behav16","Ch. is nervous, clinging in new situations","item_5635"
"soep-fid","bioage08p2","b08behav17","Ch. is nice to younger children","item_5635"
"soep-fid","f10eltern4","f10e403q","Kind ist lieb zu Juengeren","item_5635"
"soep-fid","f12eltern6","f12e6a23w","(3er) Kind ist lieb zu juengeren Kindern","item_5635"
"soep-fid","bioage10p2","b10behav17","Ch. is nice to younger children","item_5635"
"soep-fid","bioage08p1","b08behav17","Ch. is nice to younger children","item_5635"
"soep-fid","f10eltern5","f10e520q","Kind ist lieb zu Juengeren","item_5635"
"soep-fid","f12eltern6","f12e6b23w","(7er) Kind ist lieb zu juengeren Kindern","item_5635"
"soep-fid","bioage10p1","b10behav17","Ch. is nice to younger children","item_5635"
"soep-fid","bioagel","behav17","Ch. is nice to younger children","item_6859"
"soep-fid","f11eltern4","f11e403q","Kind ist lieb zu Juengeren","item_5635"
"soep-fid","f12eltern4","f12e403q","Kind ist lieb zu Juengeren","item_5635"
"soep-fid","f12eltern5","f12e520q","Kind ist lieb zu Juengeren","item_5635"
"soep-fid","f11eltern5","f11e520q","Kind ist lieb zu Juengeren","item_5635"
"soep-fid","bioage06","b06behav17","Ch. is nice to younger children","item_5635"
"soep-fid","f11eltern4","f11e403r","Kind luegt oder mogelt haeufig","item_7149"
"soep-fid","f12eltern6","f12e6b23x","(7er) Kind luegt oder mogelt haeufig","item_7149"
"soep-fid","f10eltern5","f10e520r","Kind luegt oder mogelt haeufig","item_7149"
"soep-fid","f12eltern5","f12e520r","Kind luegt oder mogelt haeufig","item_7149"
"soep-fid","bioage08p2","b08behav18","Ch. often lies or cheats","item_7149"
"soep-fid","f10eltern4","f10e403r","Kind luegt oder mogelt haeufig","item_7149"
"soep-fid","bioagel","behav18","Ch. often lies or cheats","item_7149"
"soep-fid","f11eltern5","f11e520r","Kind luegt oder mogelt haeufig","item_7149"
"soep-fid","bioage10p2","b10behav18","Ch. often lies or cheats","item_7149"
"soep-fid","bioage06","b06behav18","Ch. often lies or cheats","item_7149"
"soep-fid","f12eltern4","f12e403r","Kind luegt oder mogelt haeufig","item_7149"
"soep-fid","bioage10p1","b10behav18","Ch. often lies or cheats","item_7149"
"soep-fid","f12eltern6","f12e6a23x","(3er) Kind luegt oder mogelt haeufig","item_7149"
"soep-fid","bioage08p1","b08behav18","Ch. often lies or cheats","item_7149"
"soep-fid","f10eltern6","f10e622m","Kind wird von anderen gehaenselt o. schikaniert","item_5636"
"soep-fid","f12eltern6","f12e6b23m","(7er) Kind wird von anderen gehaenselt o. schikaniert","item_5636"
"soep-fid","f12eltern5","f12e520s","Kind wird von anderen gehaenselt o. schikaniert","item_5636"
"soep-fid","f11eltern6","f11e622m","Kind wird von anderen gehaenselt o. schikaniert","item_5636"
"soep-fid","bioagel","behav19","Ch. is mobbed by others","item_5636"
"soep-fid","bioage08p1","b08behav19","Ch. is mobbed by others","item_5636"
"soep-fid","f10eltern5","f10e520s","Kind wird von anderen gehaenselt o. schikaniert","item_5636"
"soep-fid","bioage08p2","b08behav19","Ch. is mobbed by others","item_5636"
"soep-fid","bioage10p1","b10behav19","Ch. is mobbed by others","item_5636"
"soep-fid","f10eltern4","f10e403s","Kind wird von anderen gehaenselt o. schikaniert","item_5636"
"soep-fid","f12eltern4","f12e403s","Kind wird von anderen gehaenselt o. schikaniert","item_5636"
"soep-fid","bioage06","b06behav19","Ch. is mobbed by others","item_5636"
"soep-fid","bioage10p2","b10behav19","Ch. is mobbed by others","item_5636"
"soep-fid","f11eltern5","f11e520s","Kind wird von anderen gehaenselt o. schikaniert","item_5636"
"soep-fid","f12eltern6","f12e6a23m","(3er) Kind wird von anderen gehaenselt o. schikaniert","item_5636"
"soep-fid","f11eltern4","f11e403s","Kind wird von anderen gehaenselt o. schikaniert","item_5636"
"soep-fid","bioage08p1","b08behav2","Ch. is anxious, overactive, cannot sit quietly","item_5625"
"soep-fid","f10eltern4","f10e403b","Kind ist unruhig, ueberaktiv, kann nicht lange stillsitzen","item_5625"
"soep-fid","bioage10p1","b10behav2","Ch. is anxious, overactive, cannot sit quietly","item_5625"
"soep-fid","bioage10p2","b10behav2","Ch. is anxious, overactive, cannot sit quietly","item_5625"
"soep-fid","f11eltern4","f11e403b","Kind ist unruhig, ueberaktiv, kann nicht lange stillsitzen","item_5625"
"soep-fid","f10eltern5","f10e520b","Kind ist unruhig, ueberaktiv, kann nicht lange stillsitzen","item_5625"
"soep-fid","bioagel","behav2","Ch. is anxious, overactive, cannot sit quietly","item_6844"
"soep-fid","f12eltern5","f12e520b","Kind ist unruhig, ueberaktiv, kann nicht lange stillsitzen","item_5625"
"soep-fid","f11eltern6","f11e622b","Kind ist unruhig, ueberaktiv, kann nicht lange stillsitzen","item_5625"
"soep-fid","bioage08p2","b08behav2","Ch. is anxious, overactive, cannot sit quietly","item_5625"
"soep-fid","f12eltern4","f12e403b","Kind ist unruhig, ueberaktiv, kann nicht lange stillsitzen","item_5625"
"soep-fid","f11eltern5","f11e520b","Kind ist unruhig, ueberaktiv, kann nicht lange stillsitzen","item_5625"
"soep-fid","f12eltern6","f12e6a23b","(3er) Kind ist unruhig, ueberaktiv, kann nicht lange stillsitzen","item_5625"
"soep-fid","bioage06","b06behav2","Ch. is anxious, overactive, cannot sit quietly","item_5625"
"soep-fid","f12eltern6","f12e6b23b","(7er) Kind ist unruhig, ueberaktiv, kann nicht lange stillsitzen","item_5625"
"soep-fid","f10eltern6","f10e622b","Kind ist unruhig, ueberaktiv, kann nicht lange stillsitzen","item_5625"
"soep-fid","f12eltern6","f12e6b23n","(7er) Kind hilft anderen oft freiwillig","item_5637"
"soep-fid","bioagel","behav20","Ch. offers its help voluntary","item_5637"
"soep-fid","f10eltern6","f10e622n","Kind hilft anderen oft freiwillig","item_5637"
"soep-fid","bioage08p1","b08behav20","Ch. offers its help voluntary","item_5637"
"soep-fid","f11eltern6","f11e622n","Kind hilft anderen oft freiwillig","item_5637"
"soep-fid","f10eltern5","f10e520t","Kind hilft anderen oft freiwillig","item_5637"
"soep-fid","bioage10p1","b10behav20","Ch. offers its help voluntary","item_5637"
"soep-fid","f11eltern4","f11e403t","Kind hilft anderen oft freiwillig","item_5637"
"soep-fid","bioage06","b06behav20","Ch. offers its help voluntary","item_5637"
"soep-fid","f11eltern5","f11e520t","Kind hilft anderen oft freiwillig","item_5637"
"soep-fid","f12eltern4","f12e403t","Kind hilft anderen oft freiwillig","item_5637"
"soep-fid","f10eltern4","f10e403t","Kind hilft anderen oft freiwillig","item_5637"
"soep-fid","bioage08p2","b08behav20","Ch. offers its help voluntary","item_5637"
"soep-fid","f12eltern5","f12e520t","Kind hilft anderen oft freiwillig","item_5637"
"soep-fid","f12eltern6","f12e6a23n","(3er) Kind hilft anderen oft freiwillig","item_5637"
"soep-fid","bioage10p2","b10behav20","Ch. offers its help voluntary","item_5637"
"soep-fid","bioage10p1","b10behav21","Ch. takes things w/o asking for permission","fid_behav21"
"soep-fid","bioage10p2","b10behav21","Ch. takes things w/o asking for permission","fid_behav21"
"soep-fid","f10eltern5","f10e520u","Kind nimmt unerlaubt Dinge an sich","e5ver24"
"soep-fid","f10eltern4","f10e403u","Kind nimmt unerlaubt Dinge an sich","e4ver24"
"soep-fid","bioage06","b06behav21","Ch. takes things w/o asking for permission","fid_behav21"
"soep-fid","f12eltern5","f12e520u","Kind nimmt unerlaubt Dinge an sich","e5ver24"
"soep-fid","f11eltern5","f11e520u","Kind nimmt unerlaubt Dinge an sich","e5ver24"
"soep-fid","f12eltern4","f12e403u","Kind nimmt unerlaubt Dinge an sich","e4ver24"
"soep-fid","f12eltern6","f12e6a23y","(3er) Kind nimmt unerlaubt Dinge an sich","e6ver24"
"soep-fid","f11eltern4","f11e403u","Kind nimmt unerlaubt Dinge an sich","e4ver24"
"soep-fid","bioage08p1","b08behav21","Ch. takes things w/o asking for permission","fid_behav21"
"soep-fid","f12eltern6","f12e6b23y","(7er) Kind nimmt unerlaubt Dinge an sich","e6ver24"
"soep-fid","bioagel","behav21","Ch. takes things w/o asking for permission","fid_behav21"
"soep-fid","bioage08p2","b08behav21","Ch. takes things w/o asking for permission","fid_behav21"
"soep-fid","f11eltern6","f11e622o","Kind kommt mit Erwachsenen besser aus als mit anderen Kindern","item_5638"
"soep-fid","f10eltern5","f10e520v","Kind kommt mit Erwachsenen besser aus als mit anderen Kindern","item_5638"
"soep-fid","f11eltern4","f11e403v","Kind kommt mit Erwachsenen besser aus als mit anderen Kindern","item_5638"
"soep-fid","f10eltern6","f10e622o","Kind kommt mit Erwachsenen besser aus als mit anderen Kindern","item_5638"
"soep-fid","f12eltern5","f12e520v","Kind kommt mit Erwachsenen besser aus als mit anderen Kindern","item_5638"
"soep-fid","f12eltern4","f12e403v","Kind kommt mit Erwachsenen besser aus als mit anderen Kindern","item_5638"
"soep-fid","bioage06","b06behav22","Ch. gets along better w. adults than w. children","item_5638"
"soep-fid","f11eltern5","f11e520v","Kind kommt mit Erwachsenen besser aus als mit anderen Kindern","item_5638"
"soep-fid","bioagel","behav22","Ch. gets along better w. adults than w. children","item_5638"
"soep-fid","f12eltern6","f12e6a23o","(3er) Kind kommt mit Erwachsenen besser aus als mit anderen Kindern","item_5638"
"soep-fid","f12eltern6","f12e6b23o","(7er) Kind kommt mit Erwachsenen besser aus als mit anderen Kindern","item_5638"
"soep-fid","bioage08p2","b08behav22","Ch. gets along better w. adults than w. children","item_5638"
"soep-fid","bioage08p1","b08behav22","Ch. gets along better w. adults than w. children","item_5638"
"soep-fid","bioage10p1","b10behav22","Ch. gets along better w. adults than w. children","item_5638"
"soep-fid","f10eltern4","f10e403v","Kind kommt mit Erwachsenen besser aus als mit anderen Kindern","item_5638"
"soep-fid","bioage10p2","b10behav22","Ch. gets along better w. adults than w. children","item_5638"
"soep-fid","f12eltern6","f12e6b23p","(7er) Kind hat viele Aengste, fuerchtet sich leicht","item_5639"
"soep-fid","f12eltern6","f12e6a23p","(3er) Kind hat viele Aengste, fuerchtet sich leicht","item_5639"
"soep-fid","f11eltern5","f11e520w","Kind hat viele Aengste, fuerchtet sich leicht","item_5639"
"soep-fid","f11eltern6","f11e622p","Kind hat viele Aengste, fuerchtet sich leicht","item_5639"
"soep-fid","f10eltern6","f10e622p","Kind hat viele Aengste, fuerchtet sich leicht","item_5639"
"soep-fid","bioagel","behav23","Ch. has many fears, is easily afraid","item_5639"
"soep-fid","f11eltern4","f11e403w","Kind hat viele Aengste, fuerchtet sich leicht","item_5639"
"soep-fid","f12eltern5","f12e520w","Kind hat viele Aengste, fuerchtet sich leicht","item_5639"
"soep-fid","bioage10p2","b10behav23","Ch. has many fears, is easily afraid","item_5639"
"soep-fid","bioage08p1","b08behav23","Ch. has many fears, is easily afraid","item_5639"
"soep-fid","f12eltern4","f12e403w","Kind hat viele Aengste, fuerchtet sich leicht","item_5639"
"soep-fid","bioage06","b06behav23","Ch. has many fears, is easily afraid","item_5639"
"soep-fid","f10eltern4","f10e403w","Kind hat viele Aengste, fuerchtet sich leicht","item_5639"
"soep-fid","bioage10p1","b10behav23","Ch. has many fears, is easily afraid","item_5639"
"soep-fid","bioage08p2","b08behav23","Ch. has many fears, is easily afraid","item_5639"
"soep-fid","f10eltern5","f10e520w","Kind hat viele Aengste, fuerchtet sich leicht","item_5639"
"soep-fid","bioage08p1","b08behav24","Ch. finishes tasks, can concentrate for long time","item_5640"
"soep-fid","bioage10p1","b10behav24","Ch. finishes tasks, can concentrate for long time","item_5640"
"soep-fid","f11eltern4","f11e403x","Kind fuehrt Aufgaben zu Ende, kann sich lange konzentrieren","item_5640"
"soep-fid","f11eltern6","f11e622q","Kind fuehrt Aufgaben zu Ende, kann sich lange konzentrieren","item_5640"
"soep-fid","f10eltern4","f10e403x","Kind fuehrt Aufgaben zu Ende, kann sich lange konzentrieren","item_5640"
"soep-fid","f12eltern6","f12e6a23q","(3er) Kind fuehrt Aufgaben zu Ende, kann sich lange konzentrieren","item_5640"
"soep-fid","f12eltern5","f12e520x","Kind fuehrt Aufgaben zu Ende, kann sich lange konzentrieren","item_5640"
"soep-fid","f10eltern5","f10e520x","Kind fuehrt Aufgaben zu Ende, kann sich lange konzentrieren","item_5640"
"soep-fid","f10eltern6","f10e622q","Kind fuehrt Aufgaben zu Ende, kann sich lange konzentrieren","item_5640"
"soep-fid","bioage06","b06behav24","Ch. finishes tasks, can concentrate for long time","item_5640"
"soep-fid","bioage10p2","b10behav24","Ch. finishes tasks, can concentrate for long time","item_5640"
"soep-fid","f12eltern6","f12e6b23q","(7er) Kind fuehrt Aufgaben zu Ende, kann sich lange konzentrieren","item_5640"
"soep-fid","f12eltern4","f12e403x","Kind fuehrt Aufgaben zu Ende, kann sich lange konzentrieren","item_5640"
"soep-fid","bioagel","behav24","Ch. finishes tasks, can concentrate for long time","item_5640"
"soep-fid","f11eltern5","f11e520x","Kind fuehrt Aufgaben zu Ende, kann sich lange konzentrieren","item_5640"
"soep-fid","bioage08p2","b08behav24","Ch. finishes tasks, can concentrate for long time","item_5640"
"soep-fid","bioage10p1","b10behav25","Ch. thinks before acting","fid_behav25"
"soep-fid","bioage10p2","b10behav25","Ch. thinks before acting","fid_behav25"
"soep-fid","f10eltern6","f10e622r","Kind denkt nach, bevor es handelt","e6ver25"
"soep-fid","f11eltern6","f11e622r","Kind denkt nach, bevor es handelt","e6ver25"
"soep-fid","f10eltern5","f10e520y","Kind denkt nach, bevor es handelt","e5ver25"
"soep-fid","f10eltern4","f10e403y","Kind denkt nach, bevor es handelt","e4ver25"
"soep-fid","bioage06","b06behav25","Ch. thinks before acting","fid_behav25"
"soep-fid","bioage08p1","b08behav25","Ch. thinks before acting","fid_behav25"
"soep-fid","f11eltern5","f11e520y","Kind denkt nach, bevor es handelt","e5ver25"
"soep-fid","f12eltern6","f12e6b23r","(7er) Kind denkt nach, bevor es handelt","e6ver25"
"soep-fid","f12eltern6","f12e6a23r","(3er) Kind denkt nach, bevor es handelt","e6ver25"
"soep-fid","f11eltern4","f11e403y","Kind denkt nach, bevor es handelt","e4ver25"
"soep-fid","f12eltern5","f12e520y","Kind denkt nach, bevor es handelt","e5ver25"
"soep-fid","bioage08p2","b08behav25","Ch. thinks before acting","fid_behav25"
"soep-fid","bioagel","behav25","Ch. thinks before acting","fid_behav25"
"soep-fid","f12eltern4","f12e403y","Kind denkt nach, bevor es handelt","e4ver25"
"soep-fid","f10eltern5","f10e520c","Kind klagt haeufig ueber Kopf-/Bauchschmerzen o. uebelkeit","item_6845"
"soep-fid","f12eltern6","f12e6a23s","(3er) Kind klagt haeufig ueber Kopf-, Bauchschmerzen, Übelkeit","item_6845"
"soep-fid","bioagel","behav3","Ch. often complains a. headache/stomach sickness","item_6845"
"soep-fid","f12eltern6","f12e6b23s","(7er) Kind klagt haeufig ueber Kopf-, Bauchschmerzen, Übelkeit","item_6845"
"soep-fid","f11eltern5","f11e520c","Kind klagt haeufig ueber Kopf-/Bauchschmerzen o. uebelkeit","item_6845"
"soep-fid","f10eltern4","f10e403c","Kind klagt haeufig ueber Kopf-/Bauchschmerzen o. Uebelkeit","item_6845"
"soep-fid","bioage06","b06behav3","Ch. often complains a. headache/stomach sickness","item_6845"
"soep-fid","bioage10p1","b10behav3","Ch. often complains a. headache/stomach sickness","item_6845"
"soep-fid","f11eltern4","f11e403c","Kind klagt haeufig ueber Kopf-/Bauchschmerzen o. Uebelkeit","item_6845"
"soep-fid","f12eltern4","f12e403c","Kind klagt haeufig ueber Kopf-/Bauchschmerzen o. Uebelkeit","item_6845"
"soep-fid","bioage10p2","b10behav3","Ch. often complains a. headache/stomach sickness","item_6845"
"soep-fid","bioage08p1","b08behav3","Ch. often complains a. headache/stomach sickness","item_6845"
"soep-fid","bioage08p2","b08behav3","Ch. often complains a. headache/stomach sickness","item_6845"
"soep-fid","f12eltern5","f12e520c","Kind klagt haeufig ueber Kopf-/Bauchschmerzen o. uebelkeit","item_6845"
"soep-fid","bioage10p2","b10behav4","Ch. likes to share with other children","item_5626"
"soep-fid","f10eltern4","f10e403d","Kind teilt gerne mit anderen Kindern","item_5626"
"soep-fid","f11eltern4","f11e403d","Kind teilt gerne mit anderen Kindern","item_5626"
"soep-fid","f12eltern6","f12e6a23c","(3er) Kind teilt gerne mit anderen Kindern","item_5626"
"soep-fid","f12eltern6","f12e6b23c","(7er) Kind teilt gerne mit anderen Kindern","item_5626"
"soep-fid","f11eltern6","f11e622c","Kind teilt gerne mit anderen Kindern","item_5626"
"soep-fid","f12eltern5","f12e520d","Kind teilt gerne mit anderen Kindern","item_5626"
"soep-fid","bioage06","b06behav4","Ch. likes to share with other children","item_5626"
"soep-fid","bioage08p2","b08behav4","Ch. likes to share with other children","item_5626"
"soep-fid","f10eltern5","f10e520d","Kind teilt gerne mit anderen Kindern","item_5626"
"soep-fid","bioage08p1","b08behav4","Ch. likes to share with other children","item_5626"
"soep-fid","f11eltern5","f11e520d","Kind teilt gerne mit anderen Kindern","item_5626"
"soep-fid","f10eltern6","f10e622c","Kind teilt gerne mit anderen Kindern","item_5626"
"soep-fid","f12eltern4","f12e403d","Kind teilt gerne mit anderen Kindern","item_5626"
"soep-fid","bioage10p1","b10behav4","Ch. likes to share with other children","item_5626"
"soep-fid","bioagel","behav4","Ch. likes to share with other children","item_6846"
"soep-fid","f12eltern6","f12e6a23d","(3er) Kind hat oft Wutanfaelle, ist aufbrausend","item_5627"
"soep-fid","bioage06","b06behav5","Ch. has rage attacks, is choleric","item_5627"
"soep-fid","f12eltern6","f12e6b23d","(7er) Kind hat oft Wutanfaelle, ist aufbrausend","item_5627"
"soep-fid","bioage10p2","b10behav5","Ch. has rage attacks, is choleric","item_5627"
"soep-fid","f10eltern6","f10e622d","Kind hat oft Wutanfaelle, ist aufbrausend","item_5627"
"soep-fid","bioage10p1","b10behav5","Ch. has rage attacks, is choleric","item_5627"
"soep-fid","f12eltern4","f12e403e","Kind hat oft Wutanfaelle, ist aufbrausend","item_5627"
"soep-fid","f11eltern5","f11e520e","Kind hat oft Wutanfaelle, ist aufbrausend","item_5627"
"soep-fid","bioage08p2","b08behav5","Ch. has rage attacks, is choleric","item_5627"
"soep-fid","f11eltern4","f11e403e","Kind hat oft Wutanfaelle, ist aufbrausend","item_5627"
"soep-fid","f11eltern6","f11e622d","Kind hat oft Wutanfaelle, ist aufbrausend","item_5627"
"soep-fid","bioage08p1","b08behav5","Ch. has rage attacks, is choleric","item_5627"
"soep-fid","f12eltern5","f12e520e","Kind hat oft Wutanfaelle, ist aufbrausend","item_5627"
"soep-fid","f10eltern4","f10e403e","Kind hat oft Wutanfaelle, ist aufbrausend","item_5627"
"soep-fid","f10eltern5","f10e520e","Kind hat oft Wutanfaelle, ist aufbrausend","item_5627"
"soep-fid","bioagel","behav5","Ch. has rage attacks, is choleric","item_6847"
"soep-fid","f12eltern5","f12e520f","Kind ist Einzelgaenger, spielt meist alleine","item_5628"
"soep-fid","bioage06","b06behav6","Ch. is a loner, plays mostly alone","item_5628"
"soep-fid","bioagel","behav6","Ch. is a loner, plays mostly alone","item_6848"
"soep-fid","f12eltern6","f12e6b23e","(7er) Kind ist Einzelgaenger, spielt meist alleine","item_5628"
"soep-fid","f10eltern4","f10e403f","Kind ist Einzelgaenger, spielt meist alleine","item_5628"
"soep-fid","f12eltern4","f12e403f","Kind ist Einzelgaenger, spielt meist alleine","item_5628"
"soep-fid","f10eltern5","f10e520f","Kind ist Einzelgaenger, spielt meist alleine","item_5628"
"soep-fid","f12eltern6","f12e6a23e","(3er) Kind ist Einzelgaenger, spielt meist alleine","item_5628"
"soep-fid","bioage08p1","b08behav6","Ch. is a loner, plays mostly alone","item_5628"
"soep-fid","bioage10p1","b10behav6","Ch. is a loner, plays mostly alone","item_5628"
"soep-fid","f11eltern5","f11e520f","Kind ist Einzelgaenger, spielt meist alleine","item_5628"
"soep-fid","f10eltern6","f10e622e","Kind ist Einzelgaenger, spielt meist alleine","item_5628"
"soep-fid","f11eltern6","f11e622e","Kind ist Einzelgaenger, spielt meist alleine","item_5628"
"soep-fid","f11eltern4","f11e403f","Kind ist Einzelgaenger, spielt meist alleine","item_5628"
"soep-fid","bioage10p2","b10behav6","Ch. is a loner, plays mostly alone","item_5628"
"soep-fid","bioage08p2","b08behav6","Ch. is a loner, plays mostly alone","item_5628"
"soep-fid","bioage06","b06behav7","Ch. is compliant, does what adults ask for","item_5625"
"soep-fid","bioage10p1","b10behav7","Ch. is compliant, does what adults ask for","item_5625"
"soep-fid","f10eltern4","f10e403g","Kind ist folgsam","item_5625"
"soep-fid","f12eltern6","f12e6b23t","(7er) Kind ist im Allgemeinen folgsam","item_5625"
"soep-fid","f12eltern5","f12e520g","Kind ist folgsam","item_5625"
"soep-fid","f11eltern4","f11e403g","Kind ist folgsam","item_5625"
"soep-fid","bioage08p2","b08behav7","Ch. is compliant, does what adults ask for","item_5625"
"soep-fid","f12eltern4","f12e403g","Kind ist folgsam","item_5625"
"soep-fid","bioage10p2","b10behav7","Ch. is compliant, does what adults ask for","item_5625"
"soep-fid","f12eltern6","f12e6a23t","(3er) Kind ist im Allgemeinen folgsam","item_5625"
"soep-fid","bioagel","behav7","Ch. is compliant, does what adults ask for","item_6849"
"soep-fid","f10eltern5","f10e520g","Kind ist folgsam","item_5625"
"soep-fid","f11eltern5","f11e520g","Kind ist folgsam","item_5625"
"soep-fid","bioage08p1","b08behav7","Ch. is compliant, does what adults ask for","item_5625"
"soep-fid","bioage06","b06behav8","Ch. has a lot of worries, is depressed","item_6850"
"soep-fid","f11eltern4","f11e403h","Kind hat viele Sorgen, ist bedrueckt","item_6850"
"soep-fid","bioagel","behav8","Ch. has a lot of worries, is depressed","item_6850"
"soep-fid","f10eltern4","f10e403h","Kind hat viele Sorgen, ist bedrueckt","item_6850"
"soep-fid","f12eltern6","f12e6a23u","(3er) Kind hat viele Sorgen, erscheint haeufig bedrueckt","item_6850"
"soep-fid","f10eltern5","f10e520h","Kind hat viele Sorgen, ist bedrueckt","item_6850"
"soep-fid","bioage08p2","b08behav8","Ch. has a lot of worries, is depressed","item_6850"
"soep-fid","f11eltern5","f11e520h","Kind hat viele Sorgen, ist bedrueckt","item_6850"
"soep-fid","f12eltern4","f12e403h","Kind hat viele Sorgen, ist bedrueckt","item_6850"
"soep-fid","f12eltern6","f12e6b23u","(7er) Kind hat viele Sorgen, erscheint haeufig bedrueckt","item_6850"
"soep-fid","bioage08p1","b08behav8","Ch. has a lot of worries, is depressed","item_6850"
"soep-fid","bioage10p1","b10behav8","Ch. has a lot of worries, is depressed","item_6850"
"soep-fid","f12eltern5","f12e520h","Kind hat viele Sorgen, ist bedrueckt","item_6850"
"soep-fid","bioage10p2","b10behav8","Ch. has a lot of worries, is depressed","item_6850"
"soep-fid","bioage10p1","b10behav9","Ch. is helpful if anothers are injured/ill/unhappy","item_5629"
"soep-fid","f10eltern5","f10e520i","Kind ist hilfsbereit, wenn andere verletzt, krank, betruebt sind","item_5629"
"soep-fid","bioage06","b06behav9","Ch. is helpful if anothers are injured/ill/unhappy","item_5629"
"soep-fid","bioage08p1","b08behav9","Ch. is helpful if anothers are injured/ill/unhappy","item_5629"
"soep-fid","f12eltern6","f12e6b23f","(7er) Kind ist hilfsbereit, wenn andere verletzt, krank, betruebt sind","item_5629"
"soep-fid","f12eltern5","f12e520i","Kind ist hilfsbereit, wenn andere verletzt, krank, betruebt sind","item_5629"
"soep-fid","f10eltern6","f10e622f","Kind ist hilfsbereit, wenn andere verletzt, krank, betruebt sind","item_5629"
"soep-fid","f11eltern6","f11e622f","Kind ist hilfsbereit, wenn andere verletzt, krank, betruebt sind","item_5629"
"soep-fid","f10eltern4","f10e403i","Kind ist hilfsbereit, wenn andere verletzt, krank, betruebt sind","item_5629"
"soep-fid","bioage10p2","b10behav9","Ch. is helpful if anothers are injured/ill/unhappy","item_5629"
"soep-fid","bioagel","behav9","Ch. is helpful if anothers are injured/ill/unhappy","item_6851"
"soep-fid","f12eltern6","f12e6a23f","(3er) Kind ist hilfsbereit, wenn andere verletzt, krank, betruebt sind","item_5629"
"soep-fid","bioage08p2","b08behav9","Ch. is helpful if anothers are injured/ill/unhappy","item_5629"
"soep-fid","f12eltern4","f12e403i","Kind ist hilfsbereit, wenn andere verletzt, krank, betruebt sind","item_5629"
"soep-fid","f11eltern4","f11e403i","Kind ist hilfsbereit, wenn andere verletzt, krank, betruebt sind","item_5629"
"soep-fid","f11eltern5","f11e520i","Kind ist hilfsbereit, wenn andere verletzt, krank, betruebt sind","item_5629"
"soep-fid","bioage10p1","b10bepar1","Be parents: sacrifice own wishes","item_6158"
"soep-fid","f10eltern6","f10e607a","Elternrolle: eigene Wuensche zugunsten des Kindes opfern","item_6158"
"soep-fid","f11eltern5","f11e516a","Elternrolle: eigene Wuensche zugunsten des Kindes opfern","item_6158"
"soep-fid","bioagel","bepar1","Be parents: sacrifice own wishes","item_6925"
"soep-fid","f11eltern6","f11e607a","Elternrolle: eigene Wuensche zugunsten des Kindes opfern","item_6158"
"soep-fid","bioage08p1","b08bepar1","Be parents: sacrifice own wishes","item_6158"
"soep-fid","f12eltern5","f12e516a","Elternrolle: eigene Wuensche zugunsten des Kindes opfern","item_6158"
"soep-fid","bioage10p2","b10bepar1","Be parents: sacrifice own wishes","item_6158"
"soep-fid","f12eltern6","f12e607a","Elternrolle: eigene Wuensche zugunsten des Kindes opfern","item_6158"
"soep-fid","bioage08p2","b08bepar1","Be parents: sacrifice own wishes","item_6158"
"soep-fid","f10eltern5","f10e516a","Elternrolle: eigene Wuensche zugunsten des Kindes opfern","item_6158"
"soep-fid","bioage08p1","b08bepar10","Be parents: look foward to spending time w. child","item_6159"
"soep-fid","f10eltern5","f10e516j","Elternrolle: darauf freuen, mit Kind zusammen zu sein","item_6159"
"soep-fid","f12eltern6","f12e607j","Elternrolle: darauf freuen, mit Kind zusammen zu sein","item_6159"
"soep-fid","f11eltern5","f11e516j","Elternrolle: darauf freuen, mit Kind zusammen zu sein","item_6159"
"soep-fid","bioagel","bepar10","Be parents: look foward to spending time w. child","item_6934"
"soep-fid","bioage10p1","b10bepar10","Be parents: look foward to spending time w. child","item_6159"
"soep-fid","f10eltern6","f10e607j","Elternrolle: darauf freuen, mit Kind zusammen zu sein","item_6159"
"soep-fid","bioage10p2","b10bepar10","Be parents: look foward to spending time w. child","item_6159"
"soep-fid","f11eltern6","f11e607j","Elternrolle: darauf freuen, mit Kind zusammen zu sein","item_6159"
"soep-fid","bioage08p2","b08bepar10","Be parents: look foward to spending time w. child","item_6159"
"soep-fid","f12eltern5","f12e516j","Elternrolle: darauf freuen, mit Kind zusammen zu sein","item_6159"
"soep-fid","f11eltern6","f11e607b","Elternrolle: K.will aergern, wenn nicht gehorcht,Verbotenes tut","item_6160"
"soep-fid","f12eltern5","f12e516b","Elternrolle: K.will aergern, wenn nicht gehorcht,Verbotenes tut","item_6160"
"soep-fid","f10eltern5","f10e516b","Elternrolle: K.will aergern, wenn nicht gehorcht,Verbotenes tut","item_6160"
"soep-fid","bioage10p1","b10bepar2","Be parents: disobedience is aimed to bother me","item_6160"
"soep-fid","bioage10p2","b10bepar2","Be parents: disobedience is aimed to bother me","item_6160"
"soep-fid","f12eltern6","f12e607b","Elternrolle: K.will aergern, wenn nicht gehorcht,Verbotenes tut","item_6160"
"soep-fid","f10eltern6","f10e607b","Elternrolle: K.will aergern, wenn nicht gehorcht,Verbotenes tut","item_6160"
"soep-fid","f11eltern5","f11e516b","Elternrolle: K.will aergern, wenn nicht gehorcht,Verbotenes tut","item_6160"
"soep-fid","bioage08p2","b08bepar2","Be parents: disobedience is aimed to bother me","item_6160"
"soep-fid","bioagel","bepar2","Be parents: disobedience is aimed to bother me","item_6926"
